2016-02-19 15:28:15,073 |OFBiz-config-1       |GenericDelegator              |I| Delegator "default" initializing helper "localmysql" for entity group "org.ofbiz.olap".
2016-02-19 15:28:15,074 |OFBiz-config-1       |GenericDelegator              |I| Doing database check as requested in entityengine.xml with addMissing=true
2016-02-19 15:28:15,076 |OFBiz-config-2       |GenericDelegator              |I| Delegator "default" initializing helper "localmysql" for entity group "org.ofbiz".
2016-02-19 15:28:15,076 |OFBiz-config-2       |GenericDelegator              |I| Doing database check as requested in entityengine.xml with addMissing=true
2016-02-19 15:28:15,402 |OFBiz-config-1       |DatabaseUtil                  |I| Database Product Name is MySQL
2016-02-19 15:28:15,402 |OFBiz-config-1       |DatabaseUtil                  |I| Database Product Version is 5.7.10-log
2016-02-19 15:28:15,402 |OFBiz-config-0       |DatabaseUtil                  |I| Database Product Name is MySQL
2016-02-19 15:28:15,402 |OFBiz-config-1       |DatabaseUtil                  |I| Database Driver Name is MySQL Connector Java
2016-02-19 15:28:15,402 |OFBiz-config-1       |DatabaseUtil                  |I| Database Driver Version is mysql-connector-java-5.1.38 ( Revision: fe541c166cec739c74cc727c5da96c1028b4834a )
2016-02-19 15:28:15,402 |OFBiz-config-0       |DatabaseUtil                  |I| Database Product Version is 5.7.10-log
2016-02-19 15:28:15,402 |OFBiz-config-1       |DatabaseUtil                  |I| Database Driver JDBC Version is 4.0
2016-02-19 15:28:15,402 |OFBiz-config-0       |DatabaseUtil                  |I| Database Driver Name is MySQL Connector Java
2016-02-19 15:28:15,402 |OFBiz-config-1       |DatabaseUtil                  |I| Database Setting/Support Information (those with a * should be true):
2016-02-19 15:28:15,402 |OFBiz-config-0       |DatabaseUtil                  |I| Database Driver Version is mysql-connector-java-5.1.38 ( Revision: fe541c166cec739c74cc727c5da96c1028b4834a )
2016-02-19 15:28:15,402 |OFBiz-config-0       |DatabaseUtil                  |I| Database Driver JDBC Version is 4.0
2016-02-19 15:28:15,402 |OFBiz-config-0       |DatabaseUtil                  |I| Database Setting/Support Information (those with a * should be true):
2016-02-19 15:28:15,403 |OFBiz-config-1       |DatabaseUtil                  |I| - supports transactions     [true]*
2016-02-19 15:28:15,403 |OFBiz-config-0       |DatabaseUtil                  |I| - supports transactions     [true]*
2016-02-19 15:28:15,403 |OFBiz-config-0       |DatabaseUtil                  |I| - isolation None            [false]
2016-02-19 15:28:15,403 |OFBiz-config-1       |DatabaseUtil                  |I| - isolation None            [false]
2016-02-19 15:28:15,403 |OFBiz-config-0       |DatabaseUtil                  |I| - isolation ReadCommitted   [true]
2016-02-19 15:28:15,403 |OFBiz-config-1       |DatabaseUtil                  |I| - isolation ReadCommitted   [true]
2016-02-19 15:28:15,403 |OFBiz-config-0       |DatabaseUtil                  |I| - isolation ReadUncommitted [true]
2016-02-19 15:28:15,403 |OFBiz-config-1       |DatabaseUtil                  |I| - isolation ReadUncommitted [true]
2016-02-19 15:28:15,403 |OFBiz-config-0       |DatabaseUtil                  |I| - isolation RepeatableRead  [true]
2016-02-19 15:28:15,403 |OFBiz-config-1       |DatabaseUtil                  |I| - isolation RepeatableRead  [true]
2016-02-19 15:28:15,403 |OFBiz-config-0       |DatabaseUtil                  |I| - isolation Serializable    [true]
2016-02-19 15:28:15,403 |OFBiz-config-1       |DatabaseUtil                  |I| - isolation Serializable    [true]
2016-02-19 15:28:15,403 |OFBiz-config-0       |DatabaseUtil                  |I| - forward only type         [false]
2016-02-19 15:28:15,403 |OFBiz-config-1       |DatabaseUtil                  |I| - forward only type         [false]
2016-02-19 15:28:15,403 |OFBiz-config-0       |DatabaseUtil                  |I| - scroll sensitive type     [false]
2016-02-19 15:28:15,403 |OFBiz-config-1       |DatabaseUtil                  |I| - scroll sensitive type     [false]
2016-02-19 15:28:15,403 |OFBiz-config-1       |DatabaseUtil                  |I| - scroll insensitive type   [true]
2016-02-19 15:28:15,403 |OFBiz-config-1       |DatabaseUtil                  |I| - is case sensitive         [false]
2016-02-19 15:28:15,403 |OFBiz-config-0       |DatabaseUtil                  |I| - scroll insensitive type   [true]
2016-02-19 15:28:15,404 |OFBiz-config-0       |DatabaseUtil                  |I| - is case sensitive         [false]
2016-02-19 15:28:15,404 |OFBiz-config-0       |DatabaseUtil                  |I| - stores LowerCase          [true]
2016-02-19 15:28:15,404 |OFBiz-config-0       |DatabaseUtil                  |I| - stores MixedCase          [false]
2016-02-19 15:28:15,404 |OFBiz-config-0       |DatabaseUtil                  |I| - stores UpperCase          [false]
2016-02-19 15:28:15,404 |OFBiz-config-0       |DatabaseUtil                  |I| - max table name length     [64]
2016-02-19 15:28:15,404 |OFBiz-config-0       |DatabaseUtil                  |I| - max column name length    [64]
2016-02-19 15:28:15,405 |OFBiz-config-0       |DatabaseUtil                  |I| - concurrent connections    [0]
2016-02-19 15:28:15,405 |OFBiz-config-0       |DatabaseUtil                  |I| - concurrent statements     [0]
2016-02-19 15:28:15,405 |OFBiz-config-0       |DatabaseUtil                  |I| - ANSI SQL92 Entry          [true]
2016-02-19 15:28:15,405 |OFBiz-config-0       |DatabaseUtil                  |I| - ANSI SQL92 Intermediate   [false]
2016-02-19 15:28:15,405 |OFBiz-config-0       |DatabaseUtil                  |I| - ANSI SQL92 Full           [false]
2016-02-19 15:28:15,405 |OFBiz-config-0       |DatabaseUtil                  |I| - ODBC SQL Grammar Core     [true]
2016-02-19 15:28:15,405 |OFBiz-config-0       |DatabaseUtil                  |I| - ODBC SQL Grammar Extended [false]
2016-02-19 15:28:15,405 |OFBiz-config-0       |DatabaseUtil                  |I| - ODBC SQL Grammar Minimum  [true]
